Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,469991.00,469991.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,866804.00,866804.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,891573.00,892085.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,894842.00,894842.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1014431.00,1015008.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1021236.00,1021236.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1076198.00,1076198.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1756211.00,1756211.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1758915.00,1758915.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,2050000.00,2050000.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,2200000.00,2200000.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,2200000.00,2200000.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,2482094.00,2471163.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,2560491.00,2561946.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,2614129.00,2614129.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,2788885.00,2788885.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,3324269.00,3324269.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,3466508.00,3466508.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,3490490.00,3490490.00
2015,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,14205632.00,14205632.00
2013,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,14872869.00,14881086.00
2014,Public Assistance,Department of Child Support Services,Department of Child Support Services,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,14887201.00,14887201.00
2013,Public Assistance,Workforce and Benefits Administration,Assistance Payments,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-806120.00,-806120.00
2015,Public Assistance,Workforce and Benefits Administration,Assistance Payments,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-559112.00,-559112.00
2014,Public Assistance,Workforce and Benefits Administration,Assistance Payments,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-493875.00,-493875.00
2014,Public Assistance,Workforce and Benefits Administration,Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,105124781.00,105124781.00
2015,Public Assistance,Workforce and Benefits Administration,Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,106872694.00,106872694.00
2013,Public Assistance,Workforce and Benefits Administration,Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,107602956.00,107602956.00
2014,Public Assistance,Workforce and Benefits Administration,General Assistance,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-157211.00,-157211.00
2013,Public Assistance,Workforce and Benefits Administration,General Assistance,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-152082.00,-152082.00
2015,Public Assistance,Workforce and Benefits Administration,General Assistance,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-143133.00,-143133.00
2013,Public Assistance,Workforce and Benefits Administration,General Assistance,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1316466.00,1316466.00
2014,Public Assistance,Workforce and Benefits Administration,General Assistance,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1342795.00,1342795.00
2015,Public Assistance,Workforce and Benefits Administration,General Assistance,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1363551.00,1363551.00
2013,Public Assistance,Workforce and Benefits Administration,General Assistance,Other Charges,Other Charges,OTHER CHARGES,26438891.00,26438891.00
2014,Public Assistance,Workforce and Benefits Administration,General Assistance,Other Charges,Other Charges,OTHER CHARGES,29300123.00,29300123.00
2015,Public Assistance,Workforce and Benefits Administration,General Assistance,Other Charges,Other Charges,OTHER CHARGES,29360011.00,29360011.00
2015,Public Assistance,Workforce and Benefits Administration,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,75000.00,75000.00
2014,Public Assistance,Workforce and Benefits Administration,Social Services Grants,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,900000.00,900000.00
2013,Public Assistance,Workforce and Benefits Administration,Social Services Grants,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1205113.00,848334.00
2015,Public Assistance,Workforce and Benefits Administration,Social Services Grants,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1240129.00,1240129.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Maintenance - Radio Services,3360.00,3360.00
2014,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,197226.00,197331.00
2015,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,233560.00,239898.00
2014,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,240209.00,245003.00
2014,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,247638.00,246477.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,264451.00,265390.00
2015,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,268968.00,281551.00
2015,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,304690.00,313546.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,322724.00,324653.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,340872.00,340872.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,471965.00,471965.00
2014,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,570702.00,571256.00
2015,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,676967.00,695351.00
2014,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,695954.00,694989.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,768213.00,770735.00
2015,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,814000.00,834505.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,945875.00,949735.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,1043856.00,1043856.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,1281063.00,1281063.00
2015,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1652648.00,1652648.00
2014,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,2131439.00,2133782.00
2014,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,2271130.00,2271130.00
2014,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,2431014.00,2433376.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Other Financing Uses,Other Financing Uses,OPERATING TRANSFERS - OUT,2487810.00,2487810.00
2013,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,2545089.00,2545089.00
2015,Public Assistance,Workforce and Benefits Administration,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,2756355.00,2832974.00
